,Issue_id,Priority,Duplicated_issue,Title,Description
0,18,P3,,"['implement', 'management', 'managers']","['managers', 'resource', 'persist', 'management', 'managers', 'manager', 'longer', 'solve', 'take', 'workbench', 'move', 'future', 'rudimentary', 'management', 'managers', 'managers', 'clear', 'startup', 'change', 'support', 'ongoing', 'merge']"
1,112,P5,,"['unimplemented', 'methods']","['hackfinder', 'cleanup', 'follow', 'methods', 'unimplemented']"
2,217,P3,,[],"['minimize', 'eclipse', 'run', 'eclipse', 'workbench', 'crash', 'follow', 'print', 'console']"
3,816,P3,,"['performance', 'problems']","['placeholder', 'investigate', 'performance', 'issue', 'report', 'run', 'disconnect']"
4,823,P3,,"['detach', 'appear']","['emedded', 'activex', 'browser', 'component', 'behavior', 'detach', 'basically', 'resource', 'perspective', 'detach', 'separate', 'window', 'scroll', 'get', 'start', 'eclipse', 'selectable', 'notice', 'problem', 'detach', 'itpuiall', 'restore', 'window']"
5,824,P3,,"['restore', 'window']","['duplicate', 'invoke', 'content', 'window', 'detach', 'window', 'window', 'result', 'return', 'window', 'window', 'accessable', 'swtactivate', 'control', 'readme', 'detach', 'workbench', 'window', 'unresponsive', 'view', 'detach', 'workbench', 'window', 'window', 'unresponsive', 'close', 'detach', 'window', 'responsive']"
6,825,P3,,"['perspective', 'open', 'current', 'window']","['create', 'second', 'workbench', 'window', 'perspective', 'window', 'request', 'observe', 'perspective', 'current', 'workbench', 'window', 'window', 'reuse', 'furthermore', 'doesnt', 'set', 'perspective', 'open', 'preferences', 'create', 'perspective', 'current', 'active', 'workbench', 'window', 'move', 'comment']"
7,827,P3,,['content'],"['outline', 'content', 'content', 'external', 'netscape', 'browser']"
8,830,P3,,"['netscape', 'restart', 'refresh', 'content']","['log', 'future', 'reference', 'stephen', 'cooper', 'message', 'question', 'close', 'netscape', 'click', 'bring', 'nestcape', 'expect', 'content', 'run', 'netscape', 'version', 'update', 'utility', 'generally', 'konqueror', 'instead', 'netscape', 'workbench', 'start', 'netscape', 'question', 'change', 'konqueror', 'instead', 'stephen', 'stephen', 'content', 'associate', 'example', 'concepts', 'associate', 'container', 'click', 'effect', 'netscape', 'version', 'specific', 'release', 'netscape', 'run', 'launch', 'workbench', 'launch', 'workbench', 'netscape', 'run', 'problem', 'stephen', 'cooper', 'message', 'workbench', 'window', 'window', 'netscape', 'window', 'select', 'different', 'window', 'happen', 'netscape', 'netscape', 'launch', 'netscape', 'process', 'figure', 'progress', 'want', 'upnextprev', 'stephen', 'stephen', 'select', 'perspective', 'select', 'content', 'select', 'different', 'curernt', 'notyhing', 'happen', 'designredesign', 'things', 'certainly', 'change', 'have', 'display', 'certainly', 'option', 'embed', 'browser', 'windows', 'stephen', 'cooper', 'message', 'run', 'redhat', 'netscape', 'workbench', 'select', 'bring', 'netscape', 'display', 'select', 'doesnt', 'change', 'netscape', 'show', 'previous']"
9,847,P3,,['print'],"['occassionally', 'print', 'topics', 'reverse', 'adjacent', 'flip', 'platform', 'plugin', 'developers', 'sample', 'print', 'workbench', 'property', 'workbench', 'multipage', 'editor', 'possibly', 'second', 'correct', 'seemingly', 'random', 'examples', 'print', 'print', 'workbench', 'print', 'property', 'content']"
