,Issue_id,Priority,Duplicated_issue,Title,Description
0,1533,P2,,"['feature', 'notification', 'change', 'variables']","['debugger', 'display', 'variables', 'change', 'different', 'control', 'special', 'present', 'wait', 'style', 'treeitems', 'example', 'bolding', 'public', 'static', 'string', 'display', 'display', 'display', 'display', 'treeshell', 'swtnone', 'treesetbounds', 'treeitem', 'treeitemtree', 'swtnone', 'itemsettextitem', 'treeitem', 'treeitem', 'treeitemtree', 'swtnone', 'canvas', 'accent', 'canvastree', 'swtnone', 'fontdata', 'fontdisplay', 'listener', 'public', 'egcdrawtext', 'treeitemgettext', 'listener', 'public', 'treeitem', 'treeitem', 'listener', 'public', 'treeeditor', 'editor', 'treeeditortree', 'swtleft', 'gcaccent', 'gctextextent', 'gcdispose', 'treeitem', 'shellopen', 'shellisdisposed', 'displaysleep', 'fontdispose', 'displaydispose', 'enhancement', 'language', 'independent', 'bolding', 'color', 'variable', 'change', 'presentation', 'specific', 'treeitems', 'support', 'style', 'options', 'extend', 'treeviewer', 'fairly', 'bolding', 'behavior', 'outline', 'support', 'style', 'individual', 'easier', 'itpuiall', 'feature', 'request', 'style', 'request', 'move', 'inactive']"
1,1767,P1,,"['display', 'value', 'greater']","['public', 'public', 'static', 'mainstring', 'display', 'value', 'preference', 'breakpoint', 'systemout', 'completely', 'variables', 'debug', 'generate', 'return', 'correct']"
2,1890,P3,,"['performance', 'problem']","['build', 'project', 'errors', 'minutes', 'update', 'performance', 'problem', 'severe', 'host', 'easily', 'create', 'workbench', 'errors', 'problem', 'tableviewer', 'update', 'result', 'performance', 'marker', 'additions', 'optimize', 'tableviewer', 'meantime', 'change', 'process', 'resource', 'update', 'tasklist', 'viewer', 'relevant', 'marker', 'change', 'protect', 'gather', 'marker', 'change', 'additions', 'arraylist', 'removals', 'arraylist', 'change', 'arraylist', 'additions', 'removals', 'change', 'update', 'viewer', 'marker', 'change', 'removalssize', 'additionssize', 'changessize', 'complete', 'refresh', 'change', 'markers', 'fviewerrefresh', 'marginal', 'improvement', 'javaui', 'plugin', 'project', 'workspace', 'time', 'resource', 'vajava', 'refresh', 'second', 'time', 'element', 'get', 'provider', 'settext', 'getimage', 'setimage', 'difference', 'time', 'element', 'get', 'provider', 'settext', 'getimage', 'setimage', 'difference', 'reason', 'gettext', 'getimage', 'longer', 'number', 'markers', 'resource', 'itpcore', 'marker', 'access', 'performance', 'improve', 'theres', 'account', 'set', 'tableitem', 'account', 'second', 'talk', 'performance', 'problems', 'address', 'improve', 'incremental', 'update', 'tableviewer', 'improvement', 'refresh', 'toggle', 'filter', 'improvements', 'possible', 'widget', 'performance', 'example', 'optimizations', 'possible', 'optimize', 'doupdateitem', 'improve', 'doupdateitem', 'redrawing', 'widget', 'second', 'entries', 'protect', 'widget', 'object', 'element', 'boolean', 'fullmap', 'widget', 'instanceof', 'tableitem', 'tableitem', 'tableitem', 'widget', 'remember', 'element', 'show', 'fullmap', 'ilabelprovider', 'instanceof', 'ilabelprovider', 'columncount', 'string', 'tableitem', 'tableitem', 'column', 'column', 'columncount', 'column', 'similar', 'string', 'column', 'column', 'column', 'textscolumn', 'apparently', 'problem', 'setimage', 'tisettexttexts', 'benchmark', 'import', 'comibmswt', 'import', 'import', 'import', 'javaio', 'public', 'public', 'static', 'mainstring', 'columns', 'display', 'display', 'display', 'tableshell', 'swtnull', 'tablesetbounds', 'shellopen', 'forint', 'columns', 'tablecolumn', 'column', 'columnsetwidth', 'tableitem', 'tableitem', 'forint', 'tableitemtable', 'swtnull', 'display', 'gcsetbackground', 'swtcolorred', 'gcfillrectangle', 'imagegetbounds', 'gcdispose', 'string', 'benchmark', 'starttime', 'forint', 'widget', 'widget', 'widget', 'instanceof', 'tableitem', 'tableitem', 'tableitem', 'widget', 'remember', 'element', 'show', 'fullmap', 'ilabelprovider', 'instanceof', 'ilabelprovider', 'columncount', 'string', 'tableitem', 'tableitem', 'column', 'column', 'columncount', 'column', 'similar', 'string', 'column', 'column', 'column', 'textscolumn', 'apparently', 'problem', 'setimage', 'tisettexttexts', 'endtime', 'elapse', 'endtime', 'starttime', 'elapsedms', 'shellisdisposed', 'displaysleep', 'imagedispose', 'result', 'columns', 'vajava', 'columns', 'machine', 'columns', 'columns', 'emulate', 'windows', 'columns', 'windows', 'native', 'columns', 'slower', 'faster', 'achieve', 'performance', 'windows', 'native', 'widget', 'apparently', 'benchmarks', 'release', 'performance', 'follow', 'windows', 'emulate', 'columns', 'columns', 'windows', 'emulate', 'columns', 'columns']"
3,2155,P3,,"['project', 'reference', 'preference']","['better', 'widget', 'horizontal', 'createcontrol', 'preferencepage', 'layout', 'call', 'createcontrol']"
4,2366,P3,,"['usability', 'importer']","['importer', 'doesnt', 'import']"
5,2384,P3,,['create'],"['create', 'parent']"
6,2407,P1,,"['internal', 'import']",['import']
7,2430,P3,,"['sort', 'display', 'keyorder']","['column', 'header', 'appear', 'column', 'indicate', 'sort', 'point', 'ascend', 'descend', 'example', 'explorer', 'column', 'header', 'display', 'marker']"
8,2535,P3,,"['import', 'progress', 'inaccurate']","['import', 'progress', 'reach', 'import']"
9,2650,P3,,"['doesnt', 'account', 'color']","['create', 'textviewer', 'string', 'document', 'color', 'document', 'color', 'disappear', 'example', 'import', 'import', 'import', 'import', 'import', 'import', 'public', 'display', 'display', 'document', 'document', 'textviewer', 'viewer', 'public', 'display', 'display', 'shelldisplay', 'shellsetsize', 'gridlayout', 'mainlayout', 'gridlayout', 'griddata', 'viewer', 'textviewershell', 'swtwrap', 'swtvscroll', 'swthscroll', 'document', 'document', 'documentsetdoes', 'properlyn', 'button', 'colordisplay', 'colordisplay', 'button', 'okbutton', 'buttonshell', 'swtpush', 'boolean', 'isregionhidden', 'public', 'public', 'isregionhidden', 'isregionhidden', 'isregionhidden', 'shellopen', 'shellisdisposed', 'displaysleep', 'public', 'static', 'mainstring']"
